Opponent A,Opponent B,Round_1_Sig_Strikes_Attempted_(A),Round_1_Sig_Strikes_Landed_(A),Round_1_KD_(A),Round_1_TD_(A),Round_1_Sub_Attempts_(A),Round_1_Ctrl_Time_(A),Round_1_Head_Strikes_(A),Round_2_Sig_Strikes_Attempted_(A),Round_2_Sig_Strikes_Landed_(A),Round_2_KD_(A),Round_2_TD_(A),Round_2_Sub_Attempts_(A),Round_2_Ctrl_Time_(A),Round_2_Head_Strikes_(A),Round_3_Sig_Strikes_Attempted_(A),Round_3_Sig_Strikes_Landed_(A),Round_3_KD_(A),Round_3_TD_(A),Round_3_Sub_Attempts_(A),Round_3_Ctrl_Time_(A),Round_3_Head_Strikes_(A),Round_4_Sig_Strikes_Attempted_(A),Round_4_Sig_Strikes_Landed_(A),Round_4_KD_(A),Round_4_TD_(A),Round_4_Sub_Attempts_(A),Round_4_Ctrl_Time_(A),Round_4_Head_Strikes_(A),Round_5_Sig_Strikes_Attempted_(A),Round_5_Sig_Strikes_Landed_(A),Round_5_KD_(A),Round_5_TD_(A),Round_5_Sub_Attempts_(A),Round_5_Ctrl_Time_(A),Round_5_Head_Strikes_(A),Round_1_Sig_Strikes_Attempted_(B),Round_1_Sig_Strikes_Landed_(B),Round_1_KD_(B),Round_1_TD_(B),Round_1_Sub_Attempts_(B),Round_1_Ctrl_Time_(B),Round_1_Head_Strikes_(B),Round_2_Sig_Strikes_Attempted_(B),Round_2_Sig_Strikes_Landed_(B),Round_2_KD_(B),Round_2_TD_(B),Round_2_Sub_Attempts_(B),Round_2_Ctrl_Time_(B),Round_2_Head_Strikes_(B),Round_3_Sig_Strikes_Attempted_(B),Round_3_Sig_Strikes_Landed_(B),Round_3_KD_(B),Round_3_TD_(B),Round_3_Sub_Attempts_(B),Round_3_Ctrl_Time_(B),Round_3_Head_Strikes_(B),Round_4_Sig_Strikes_Attempted_(B),Round_4_Sig_Strikes_Landed_(B),Round_4_KD_(B),Round_4_TD_(B),Round_4_Sub_Attempts_(B),Round_4_Ctrl_Time_(B),Round_4_Head_Strikes_(B),Round_5_Sig_Strikes_Attempted_(B),Round_5_Sig_Strikes_Landed_(B),Round_5_KD_(B),Round_5_TD_(B),Round_5_Sub_Attempts_(B),Round_5_Ctrl_Time_(B),Round_5_Head_Strikes_(B),Decision1,Decision1B,Decision2,Decision2B,Decision3,Decision3B
Gilbert Burns,Stephen Thompson,12,8,0,1,0,3:30,6,18,10,0,1,0,0:32,2,13,11,0,1,0,3:11,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4,3,0,0,0,0:00,2,29,9,0,0,0,0:00,5,20,7,0,0,0,0:00,7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,29,28,29,28
Carlos Condit,Max Griffin,42,13,0,0,0,0:00,3,68,28,0,0,0,0:00,17,66,22,0,0,0,0:00,15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,61,34,1,0,0,0:14,18,48,29,0,0,0,0:02,18,62,30,0,1,0,0:55,23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,30,28,29,28,29
Niko Price,Michel Pereira,30,10,0,0,0,0:47,1,40,19,0,0,1,0:50,8,110,47,0,0,0,0:35,31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,39,27,0,2,0,0:32,8,52,32,0,1,2,2:12,23,63,33,0,0,0,0:03,21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,28,29,28,29
Jennifer Maia,Jessica Eye,97,34,0,0,0,0:00,18,85,34,0,0,0,0:04,26,83,30,0,0,0,0:00,27,--,--,--,--,--,--,--,--,--,--,--,--,--,--,103,34,0,1,0,0:19,21,89,32,0,1,0,0:25,15,84,34,0,0,0,0:12,20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,29,28,30,27
Omari Akhmedov,Brad Tavares,43,11,0,1,0,1:05,8,56,17,0,1,0,0:37,13,67,20,0,0,0,0:00,16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,39,22,0,0,0,0:02,15,38,24,0,0,0,0:00,12,73,38,1,0,0,0:07,21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,28,29,29,28
Ciryl Gane,Alexander Volkov,32,16,0,0,0,0:05,7,39,24,0,0,0,0:00,6,67,42,0,0,0,0:05,19,53,29,0,0,0,0:09,15,64,24,0,0,0,0:00,13,35,25,0,0,0,0:00,2,45,22,0,0,0,0:00,5,48,23,0,0,0,0:00,9,56,21,0,0,0,0:00,13,57,24,0,0,0,0:00,12,49,46,50,45,50,45
Raoni Barcelos,Timur Valiev,26,12,0,0,0,0:16,6,60,35,2,0,0,1:07,29,45,22,0,0,0,0:00,15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,47,18,0,0,0,0:28,7,59,28,0,0,0,0:01,13,84,31,0,0,0,0:13,18,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,28,28,29,28,29
Tim Means,Nicolas Dalby,26,15,0,1,0,3:07,6,49,29,0,0,0,1:45,12,18,9,0,0,0,3:11,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20,11,0,0,0,0:09,8,60,24,0,0,0,0:17,17,36,19,0,0,0,1:05,12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,29,28,29,28
Charles Rosa,Justin Jaynes,119,35,0,1,0,0:27,22,15,3,0,0,1,1:21,1,48,13,0,1,1,1:49,10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,41,19,0,0,0,0:05,13,12,6,0,1,0,1:16,5,39,19,0,1,2,1:32,14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,29,28,28,29
Yancy Medeiros,Damir Hadzovic,78,32,0,0,0,0:04,19,99,45,0,0,0,0:40,27,42,26,0,2,2,2:55,22,--,--,--,--,--,--,--,--,--,--,--,--,--,--,66,33,0,1,0,0:47,22,113,56,0,1,0,0:47,49,58,32,0,0,0,0:20,30,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,28,29,28,29
Chan Sung Jung,Dan Ige,32,14,0,1,0,1:16,10,44,25,0,0,1,0:49,19,7,5,0,1,2,4:43,4,55,31,0,1,0,1:04,29,28,17,0,0,0,2:18,16,32,10,0,0,0,0:01,6,46,18,0,0,0,0:46,11,7,5,0,0,0,0:00,3,47,22,0,0,0,0:15,13,36,25,0,0,0,0:51,13,49,46,49,46,48,47
Aleksei Oleinik,Serghei Spivac,59,25,0,1,0,1:37,11,22,10,0,0,1,0:51,5,40,24,0,0,0,1:03,17,--,--,--,--,--,--,--,--,--,--,--,--,--,--,53,23,0,0,0,0:00,21,32,20,0,0,0,2:54,19,51,28,0,0,0,1:57,27,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,28,29,28,29
Marlon Vera,Davey Grant,52,30,0,1,0,0:27,11,67,43,0,0,0,1:00,25,43,32,0,1,3,3:48,26,--,--,--,--,--,--,--,--,--,--,--,--,--,--,84,41,0,0,0,0:00,12,57,31,0,1,0,1:54,19,27,11,0,0,0,0:00,8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,27,30,26,29,28
Aleksa Camur,Nicolae Negumereanu,66,39,0,0,0,0:00,29,40,32,0,0,0,0:00,15,42,31,0,0,0,0:00,24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,78,29,0,1,0,0:46,29,45,18,0,0,0,2:31,15,70,24,0,0,0,1:35,21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,29,28,28,29
Khaos Williams,Matthew Semelsberger,83,26,0,0,0,1:21,12,80,29,0,0,0,0:30,13,97,36,0,0,0,0:02,19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,32,18,0,0,0,0:00,11,41,23,0,0,0,0:02,15,68,23,0,0,0,0:00,16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,29,28,30,27
Josh Parisian,Roque Martinez,59,29,0,0,0,0:08,12,44,28,0,1,0,2:22,17,57,22,0,0,0,1:53,14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,46,26,0,0,0,2:40,21,18,9,0,0,1,1:08,5,50,29,0,0,0,0:31,22,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,29,28,29,28
Israel Adesanya,Marvin Vettori,32,18,0,0,0,0:00,5,49,28,0,0,0,0:00,15,35,19,0,0,0,0:32,10,38,20,0,0,0,0:04,10,27,11,0,0,0,0:00,4,29,11,0,1,0,1:08,5,50,16,0,0,0,0:59,13,32,6,0,1,0,1:18,5,42,16,0,1,0,1:31,11,23,9,0,1,0,1:59,8,50,45,50,45,50,45
Leon Edwards,Nate Diaz,19,13,0,1,0,1:32,8,30,17,0,1,0,1:09,10,15,13,0,2,0,2:18,9,36,18,0,0,0,0:00,10,32,16,0,0,0,0:00,11,23,10,0,0,0,0:03,4,30,13,0,0,0,0:16,6,12,3,0,0,0,0:26,1,45,19,0,0,0,0:14,13,52,31,0,0,0,0:54,28,49,46,49,46,49,46
Demian Maia,Belal Muhammad,5,2,0,1,0,2:30,2,19,7,0,0,0,0:46,7,29,12,0,0,0,0:58,12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,21,5,0,0,0,0:00,5,47,19,0,0,0,0:00,14,59,21,0,0,0,0:00,19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,30,28,29,28,29
Drew Dober,Brad Riddell,71,32,0,0,0,0:16,24,52,21,0,1,0,0:27,14,45,20,0,0,0,0:22,14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,48,28,0,1,0,0:53,21,38,27,0,3,0,1:25,20,51,34,0,1,0,0:12,25,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,28,29,28,29
Eryk Anders,Darren Stewart,11,5,0,0,0,1:11,2,23,12,0,0,0,3:03,8,40,27,0,0,0,4:05,26,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14,9,0,1,0,1:52,0,31,19,0,0,0,0:17,7,13,5,0,1,0,0:06,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,27,29,27,29,28
Movsar Evloev,Hakeem Dawodu,13,11,0,4,1,3:36,10,15,14,0,3,1,4:34,14,62,17,0,2,0,0:45,13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18,7,0,0,0,0:00,6,4,1,0,0,0,0:11,0,70,31,0,0,0,0:05,20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,27,29,27,29,27
Pannie Kianzad,Alexis Davis,82,49,0,0,0,0:05,38,83,37,0,0,0,0:00,29,84,38,0,0,0,0:00,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,84,42,0,0,0,0:00,30,82,44,0,1,0,0:04,32,85,46,0,0,0,0:02,33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,30,27,30,27
Chase Hooper,Steven Peterson,24,13,0,1,2,1:15,9,18,11,0,1,0,0:41,8,19,7,0,1,0,0:59,4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,32,24,0,0,0,1:03,19,21,14,0,0,1,3:30,12,15,11,0,1,1,3:24,7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,27,30,27,30
Fares Ziam,Luigi Vendramini,42,14,0,0,0,0:00,9,61,18,0,0,0,0:00,11,18,7,0,0,0,0:00,4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,26,7,0,0,0,0:00,3,32,10,0,0,0,0:08,3,37,17,0,1,0,3:01,13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,28,29,28,29,28
Carlos Felipe,Jake Collier,43,25,0,0,0,0:00,13,58,28,0,0,0,0:00,15,91,41,0,0,0,0:02,36,--,--,--,--,--,--,--,--,--,--,--,--,--,--,92,42,0,0,0,0:00,23,78,34,0,0,0,0:00,23,111,54,0,0,0,0:00,40,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,29,28,29,28
Roman Dolidze,Laureano Staropoli,11,4,0,2,0,4:20,2,15,4,0,3,0,3:25,4,13,6,0,0,0,1:52,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8,3,0,0,0,0:00,0,14,2,0,1,0,0:05,2,16,4,0,2,0,0:45,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,30,27,30,27
Santiago Ponzinibbio,Miguel Baeza,52,15,0,0,0,0:00,12,107,47,0,0,0,0:00,38,111,59,0,0,0,0:00,48,--,--,--,--,--,--,--,--,--,--,--,--,--,--,73,39,0,0,0,0:00,11,66,27,0,0,0,0:00,7,110,38,0,0,0,0:00,18,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,29,28,29,28
Dusko Todorovic,Gregory Rodrigues,36,10,0,0,0,0:43,8,37,13,0,0,0,0:25,6,47,14,0,0,0,0:18,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,46,20,0,1,0,0:11,14,44,23,0,2,0,1:12,16,60,28,0,0,0,0:02,19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,27,30,27,30
