Opponent A,Opponent B,Round_1_Sig_Strikes_Attempted_(A),Round_1_Sig_Strikes_Landed_(A),Round_1_KD_(A),Round_1_TD_(A),Round_1_Sub_Attempts_(A),Round_1_Ctrl_Time_(A),Round_1_Head_Strikes_(A),Round_2_Sig_Strikes_Attempted_(A),Round_2_Sig_Strikes_Landed_(A),Round_2_KD_(A),Round_2_TD_(A),Round_2_Sub_Attempts_(A),Round_2_Ctrl_Time_(A),Round_2_Head_Strikes_(A),Round_3_Sig_Strikes_Attempted_(A),Round_3_Sig_Strikes_Landed_(A),Round_3_KD_(A),Round_3_TD_(A),Round_3_Sub_Attempts_(A),Round_3_Ctrl_Time_(A),Round_3_Head_Strikes_(A),Round_4_Sig_Strikes_Attempted_(A),Round_4_Sig_Strikes_Landed_(A),Round_4_KD_(A),Round_4_TD_(A),Round_4_Sub_Attempts_(A),Round_4_Ctrl_Time_(A),Round_4_Head_Strikes_(A),Round_5_Sig_Strikes_Attempted_(A),Round_5_Sig_Strikes_Landed_(A),Round_5_KD_(A),Round_5_TD_(A),Round_5_Sub_Attempts_(A),Round_5_Ctrl_Time_(A),Round_5_Head_Strikes_(A),Round_1_Sig_Strikes_Attempted_(B),Round_1_Sig_Strikes_Landed_(B),Round_1_KD_(B),Round_1_TD_(B),Round_1_Sub_Attempts_(B),Round_1_Ctrl_Time_(B),Round_1_Head_Strikes_(B),Round_2_Sig_Strikes_Attempted_(B),Round_2_Sig_Strikes_Landed_(B),Round_2_KD_(B),Round_2_TD_(B),Round_2_Sub_Attempts_(B),Round_2_Ctrl_Time_(B),Round_2_Head_Strikes_(B),Round_3_Sig_Strikes_Attempted_(B),Round_3_Sig_Strikes_Landed_(B),Round_3_KD_(B),Round_3_TD_(B),Round_3_Sub_Attempts_(B),Round_3_Ctrl_Time_(B),Round_3_Head_Strikes_(B),Round_4_Sig_Strikes_Attempted_(B),Round_4_Sig_Strikes_Landed_(B),Round_4_KD_(B),Round_4_TD_(B),Round_4_Sub_Attempts_(B),Round_4_Ctrl_Time_(B),Round_4_Head_Strikes_(B),Round_5_Sig_Strikes_Attempted_(B),Round_5_Sig_Strikes_Landed_(B),Round_5_KD_(B),Round_5_TD_(B),Round_5_Sub_Attempts_(B),Round_5_Ctrl_Time_(B),Round_5_Head_Strikes_(B),Decision1,Decision1B,Decision2,Decision2B,Decision3,Decision3B
Marvin Vettori,Jared Cannonier,71,38,0,0,0,0:00,31,50,24,0,0,0,0:00,21,50,31,0,1,0,0:23,23,76,37,0,0,0,0:00,26,54,23,0,0,0,0:05,16,66,29,0,0,0,0:00,14,125,82,0,0,0,0:46,62,81,49,0,1,0,0:43,36,57,32,0,1,0,0:34,22,82,49,0,2,0,1:04,39,45,49,45,49,46,48
Armen Petrosyan,Christian Leroy Duncan,66,37,0,0,0,0:00,10,62,36,0,0,0,1:04,19,28,16,0,1,0,2:17,8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,51,27,0,0,0,0:00,10,43,20,0,0,0,0:41,6,28,12,0,0,0,0:28,7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,29,28,30,27
Nicolas Dalby,Muslim Salikhov,44,21,0,0,0,0:07,7,27,17,0,1,0,3:21,9,69,48,0,1,0,3:08,25,--,--,--,--,--,--,--,--,--,--,--,--,--,--,45,27,0,1,0,0:18,14,14,10,0,1,0,0:27,5,29,20,0,0,0,0:10,15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,30,27,30,27
Carlos Hernandez,Denys Bondar,71,35,0,0,0,0:09,28,82,27,0,0,0,0:08,23,80,40,0,2,0,0:23,36,--,--,--,--,--,--,--,--,--,--,--,--,--,--,48,22,0,0,0,0:09,6,61,33,0,1,0,0:14,20,61,21,0,1,0,0:06,11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,29,28,30,27
Tereza Bleda,Gabriella Fernandes,35,13,0,1,0,3:02,5,21,14,0,1,0,4:29,9,43,30,0,1,0,3:20,24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,13,6,0,0,0,0:00,1,4,2,0,0,0,0:10,0,30,15,0,0,0,0:00,10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,30,27,30,27
Zac Pauga,Modestas Bukauskas,29,15,0,1,0,2:04,11,48,27,0,0,0,0:10,14,40,25,0,0,0,0:03,10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,13,0,0,0,0:00,9,40,23,0,0,0,0:01,18,43,20,0,0,0,1:19,15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,28,29,27,30
Amanda Nunes,Irene Aldana,56,21,0,0,0,0:01,9,61,31,0,1,0,0:05,16,47,23,0,3,0,2:05,20,77,48,0,1,0,0:13,36,26,19,0,1,0,4:36,16,31,8,0,0,0,0:00,5,38,11,0,0,0,0:00,4,22,8,0,0,0,0:03,7,48,13,0,0,0,0:07,9,4,1,0,0,0,0:00,0,50,44,50,44,50,43
Dan Ige,Nate Landwehr,45,14,0,0,0,0:00,8,78,41,1,0,0,0:22,28,61,33,0,0,0,0:19,25,--,--,--,--,--,--,--,--,--,--,--,--,--,--,44,12,0,0,0,0:00,9,69,30,0,0,0,0:00,20,82,32,0,0,0,0:26,25,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,29,28,30,27
Marc-Andre Barriault,Eryk Anders,49,30,1,0,0,0:40,23,61,24,0,0,0,0:00,11,82,41,0,0,0,0:00,28,--,--,--,--,--,--,--,--,--,--,--,--,--,--,62,37,0,0,0,1:40,18,51,24,0,1,0,0:59,12,56,22,0,0,0,0:39,12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,30,27,30,27
Miranda Maverick,Jasmine Jasudavicius,27,20,0,0,0,0:07,5,30,15,0,0,0,0:00,9,70,28,0,0,0,0:00,19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,23,10,0,1,0,2:48,6,33,12,0,0,0,3:21,7,102,45,0,0,0,1:26,39,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,28,29,28,29
Kyle Nelson,Blake Bilder,47,19,0,0,0,1:18,10,39,19,0,0,0,0:00,8,40,21,0,0,0,1:03,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,51,22,0,0,0,0:22,15,30,12,0,0,0,1:14,4,39,11,0,0,0,1:09,7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,29,28,30,27
David Dvorak,Steve Erceg,46,20,0,0,0,0:00,8,49,23,0,0,0,1:10,12,19,10,0,1,0,0:47,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,56,16,0,0,0,0:00,8,51,18,0,0,1,0:04,11,33,20,0,3,0,1:25,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,28,29,27,30
Diana Belbita,Maria Oliveira,84,41,0,0,0,0:22,30,37,22,0,1,0,1:29,9,87,43,0,0,0,0:13,32,--,--,--,--,--,--,--,--,--,--,--,--,--,--,66,28,0,1,0,1:20,19,17,7,0,1,0,2:37,5,85,29,0,0,0,0:09,21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,29,28,30,27
Kai Kara-France,Amir Albazi,40,13,0,0,0,0:00,7,55,16,0,0,0,0:00,10,19,9,0,1,0,0:47,8,65,27,0,1,0,0:11,12,104,34,0,0,0,0:00,20,23,6,0,0,0,1:01,2,37,11,0,0,0,0:17,8,9,3,0,1,1,3:36,3,29,5,0,0,0,0:23,2,47,18,0,0,0,0:53,16,48,47,47,48,47,48
Alex Caceres,Daniel Pineda,30,15,0,0,0,3:02,9,9,5,0,0,0,0:43,2,60,40,0,1,0,0:41,21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7,5,0,1,1,0:16,1,14,9,0,2,0,3:36,8,35,13,0,0,0,0:05,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,29,28,29,28
Tim Elliott,Victor Altamirano,14,9,0,2,0,4:43,8,9,5,0,2,0,3:08,4,34,14,0,2,0,3:22,10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8,2,0,0,0,0:00,0,13,7,0,1,0,1:04,4,18,10,0,0,0,0:00,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,29,28,30,27
Abubakar Nurmagomedov,Elizeu Zaleski dos Santos,16,12,0,0,0,2:39,5,16,5,0,1,0,2:20,2,22,12,0,0,0,1:17,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,34,10,0,0,0,0:00,3,32,14,0,0,0,0:06,3,47,18,0,0,0,0:09,10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,28,29,28,29
Daniel Santos,Johnny Munoz,28,7,0,0,0,2:54,3,41,29,0,1,0,4:01,18,22,14,0,2,0,3:52,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,17,8,0,0,1,0:21,3,15,6,0,0,0,0:25,3,7,4,0,1,0,0:33,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,27,29,27,29,27
John Castaneda,Muin Gafurov,32,18,1,0,0,0:51,11,40,15,0,1,0,0:40,14,16,7,0,2,0,2:45,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,44,21,0,0,0,0:11,14,86,29,0,0,0,1:14,23,27,11,0,0,0,0:30,8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,27,29,27,29,27
Elise Reed,Jinh Yu Frey,32,14,0,0,0,0:13,4,33,19,0,0,0,0:34,6,55,20,0,0,0,0:42,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,26,11,0,2,0,1:52,9,27,7,0,1,0,1:56,1,38,10,0,0,0,0:21,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,29,28,29,28
Philipe Lins,Maxim Grishin,42,17,0,0,0,2:02,7,33,12,0,1,0,2:40,5,31,16,0,0,0,3:42,10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,16,0,0,0,0:24,8,30,14,0,0,0,0:07,4,21,11,0,0,0,0:05,8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,30,27,29,28
Mackenzie Dern,Angela Hill,42,23,1,0,0,3:08,19,49,22,0,0,0,0:00,13,39,30,0,1,0,3:23,29,50,24,0,1,0,2:03,16,30,27,0,1,0,4:38,27,16,12,0,0,0,1:02,5,40,27,0,0,0,3:33,10,8,1,0,0,0,1:04,1,38,23,0,0,0,1:32,10,6,3,0,0,0,0:00,1,49,44,49,44,49,43
Karolina Kowalkiewicz,Vanessa Demopoulos,84,42,0,0,0,0:23,33,82,55,0,0,0,0:00,30,71,42,0,0,0,1:29,31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,71,28,0,0,0,0:00,20,86,22,0,0,0,0:00,13,64,18,0,0,0,0:00,16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,30,27,30,27
Ilir Latifi,Rodrigo Nascimento,44,28,0,0,0,0:00,8,17,11,0,1,0,2:12,5,16,10,0,1,0,1:38,7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,73,34,0,0,0,0:00,26,36,15,0,0,0,0:00,10,43,19,0,0,0,0:00,15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,28,29,29,28
Chase Hooper,Nick Fiore,101,60,0,0,0,0:55,44,90,56,0,0,1,0:54,43,54,33,0,1,0,2:05,23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,32,17,0,1,0,1:32,17,31,15,0,2,0,1:36,14,27,19,0,1,0,1:39,18,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,30,26,30,27
Takashi Sato,Themba Gorimbo,8,3,0,1,0,0:32,2,17,14,0,1,0,1:14,9,22,13,0,0,0,0:35,10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16,7,0,1,0,3:58,1,30,18,1,1,0,3:20,15,10,8,0,1,0,3:57,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,30,27,30,27,30
Anthony Smith,Johnny Walker,22,10,0,1,0,1:22,8,34,18,0,0,0,0:00,8,36,10,0,0,0,0:00,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,58,28,0,1,0,0:06,16,59,31,0,0,0,0:00,7,75,33,0,0,0,0:26,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,30,27,30,28,29
Karl Williams,Chase Sherman,43,19,0,1,0,1:41,14,63,23,0,0,0,0:23,17,59,28,0,0,0,0:31,22,--,--,--,--,--,--,--,--,--,--,--,--,--,--,39,11,0,0,0,0:00,6,56,13,0,0,0,0:00,5,63,30,0,0,0,0:12,15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,30,27,29,28
Cody Stamann,Douglas Silva de Andrade,39,14,0,1,0,0:06,8,44,14,0,0,0,0:21,10,56,26,1,0,0,1:32,22,--,--,--,--,--,--,--,--,--,--,--,--,--,--,72,23,0,0,0,0:00,7,52,21,0,0,0,0:00,4,54,17,0,0,0,0:00,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,28,29,28,29
Ji Yeon Kim,Mandy Bohm,5,1,0,0,0,2:43,1,26,9,0,0,1,1:54,4,5,0,0,0,0,1:07,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3,3,0,1,1,1:59,2,23,12,0,1,0,1:42,7,5,2,0,0,0,0:24,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,28,28,27,27,28
Aljamain Sterling,Henry Cejudo,34,20,0,2,0,1:37,5,55,29,0,0,0,0:00,10,29,26,0,1,0,1:30,12,52,36,0,1,0,0:38,11,40,24,0,0,0,0:15,13,18,7,0,1,0,1:47,3,53,31,0,0,0,0:02,10,29,15,0,1,0,1:43,7,33,19,0,0,0,0:46,7,41,27,0,1,0,0:48,8,47,48,48,47,48,47
Belal Muhammad,Gilbert Burns,39,19,0,0,0,0:00,9,51,18,0,0,0,0:00,11,59,25,0,0,0,0:00,20,54,28,0,0,0,0:00,18,80,42,0,0,0,0:00,34,31,15,0,0,0,0:00,7,28,15,0,0,0,0:00,6,22,14,0,0,0,0:00,7,23,16,0,0,0,0:00,6,43,21,0,0,0,0:00,9,50,45,49,46,49,46
Movsar Evloev,Diego Lopes,22,16,0,1,0,3:34,14,66,39,0,1,0,2:20,37,41,33,0,2,0,2:36,25,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,17,0,0,1,0:25,13,24,10,0,0,0,0:00,7,18,10,0,0,3,0:16,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,29,28,30,27
Kron Gracie,Charles Jourdain,22,12,0,0,0,0:29,4,14,10,0,0,0,0:14,5,21,10,0,0,0,0:00,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,46,21,0,0,0,1:33,19,47,21,0,0,0,3:03,17,75,38,0,0,0,2:12,23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,30,27,30,27,30
Khaos Williams,Rolando Bedoya,88,44,0,0,0,0:48,21,90,39,0,0,0,0:18,17,105,47,0,0,0,0:07,30,--,--,--,--,--,--,--,--,--,--,--,--,--,--,56,44,0,0,0,0:00,26,60,40,0,0,0,0:00,25,93,65,0,0,0,0:07,52,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,29,28,27,30
Marcos Rogerio de Lima,Waldo Cortes-Acosta,34,27,0,1,0,1:35,7,19,15,0,2,0,3:00,6,23,17,0,0,0,0:26,7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,39,20,0,0,0,0:34,7,37,19,0,0,0,0:00,13,74,43,0,0,0,0:00,34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,29,28,29,28
Josh Quinlan,Trey Waters,28,12,0,1,0,0:54,5,41,18,0,0,0,0:00,7,59,20,0,0,0,0:00,14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,40,29,0,0,0,0:08,23,79,35,0,0,0,0:00,31,84,40,0,1,0,0:19,39,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,30,27,30,27,30
Martin Buday,Jake Collier,51,27,0,0,0,0:20,20,65,38,0,0,0,0:08,22,61,33,0,0,0,1:17,24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,99,45,0,0,0,0:57,32,55,27,0,0,0,2:20,20,53,22,0,0,0,1:14,11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,29,28,29,28
Cody Durden,Charles Johnson,19,13,0,4,0,3:35,7,33,21,0,4,0,3:18,16,47,22,0,3,0,2:40,16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14,7,0,0,1,0:00,3,40,22,0,0,0,0:05,12,47,23,0,0,0,0:03,15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,30,27,30,27
Hailey Cowan,Jamey-Lyn Horth,55,21,0,0,0,0:54,15,53,23,0,1,0,2:13,11,42,19,0,1,0,1:43,12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,24,0,0,0,0:35,13,42,28,0,0,0,0:07,14,33,24,0,0,0,0:25,10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,28,29,28,29
Iasmin Lucindo,Brogan Walker,43,17,0,0,0,0:00,13,29,11,0,2,0,0:44,7,46,25,0,2,0,0:02,13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,50,8,0,0,0,0:00,1,42,12,0,0,0,1:01,2,53,9,0,0,0,0:03,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,30,27,30,27
Jeremiah Wells,Matthew Semelsberger,38,17,0,2,0,3:31,14,33,16,0,1,0,3:09,15,5,3,0,3,0,4:32,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,18,11,1,0,0,0:59,10,12,6,1,0,0,0:30,5,7,3,0,0,0,0:00,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,30,27,28,29
Karol Rosa,Norma Dumont,19,8,0,0,0,0:00,3,18,7,0,0,0,1:57,4,31,18,1,0,0,1:16,12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,26,11,0,0,0,1:30,5,28,11,0,0,0,2:05,7,33,13,0,1,0,1:19,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,28,29,28,29
Francis Marshall,William Gomis,47,5,0,0,0,1:16,4,56,6,0,0,0,0:11,3,29,4,0,2,2,2:53,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20,5,0,0,0,0:00,1,34,12,0,0,0,0:17,4,25,10,0,0,0,0:00,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,29,28,28,29
Max Holloway,Arnold Allen,62,27,0,0,0,0:00,13,49,25,0,0,0,0:00,11,51,33,0,0,0,0:00,20,52,29,0,0,0,0:00,12,48,33,0,0,0,0:03,21,33,11,0,0,0,0:00,4,42,19,0,0,0,0:00,10,45,14,0,0,0,0:00,11,39,12,0,0,0,0:00,6,66,20,0,0,0,0:42,17,48,47,49,46,49,46
Dustin Jacoby,Azamat Murzakanov,39,19,0,0,0,0:00,8,40,21,0,0,0,1:17,12,52,24,0,1,0,1:49,16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,50,25,0,1,0,0:12,20,45,26,1,0,0,0:04,20,32,16,0,0,0,0:00,11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,28,29,28,29
Pedro Munhoz,Chris Gutierrez,32,10,1,0,0,2:51,9,59,20,0,0,0,0:00,3,83,30,0,0,0,0:03,8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,23,14,0,0,0,0:06,5,47,24,0,0,0,0:00,9,63,39,0,0,0,0:00,16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,30,27,30,27
Clay Guida,Rafa Garcia,92,23,0,0,0,0:00,16,88,21,0,0,0,0:00,17,72,19,0,0,0,0:00,16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,89,34,0,0,0,0:00,29,110,65,0,0,0,0:00,63,88,42,0,0,0,0:20,38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,30,27,30,27,30
Lando Vannata,Daniel Zellhuber,23,17,0,0,0,0:00,5,36,22,0,0,0,0:06,8,32,12,0,0,0,0:00,7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,91,40,1,0,0,1:30,37,55,22,0,0,0,0:00,17,61,16,0,0,0,0:14,13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,30,27,29,28,29
Aaron Phillips,Gaston Bolanos,26,10,0,0,0,0:00,2,9,5,0,2,1,3:05,3,4,2,0,1,0,2:56,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,52,22,0,0,0,0:00,9,46,25,0,0,0,0:40,11,29,16,0,0,0,0:56,12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,27,30,27,30
Joselyne Edwards,Lucie Pudilova,36,17,0,0,0,0:11,10,22,12,0,0,0,0:09,2,56,27,0,0,0,0:09,7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,8,0,1,0,3:11,5,25,12,0,1,0,3:19,10,46,19,0,0,0,0:59,12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,29,28,29,28
Gilbert Burns,Jorge Masvidal,39,13,0,1,0,0:06,7,16,7,0,2,0,4:05,6,44,22,0,1,0,1:30,21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,38,15,0,0,0,0:00,5,11,5,0,0,0,0:03,1,42,19,0,0,0,0:02,8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,30,27,30,27
Raul Rosas Jr.,Christian Rodriguez,0,0,0,3,1,4:02,0,4,0,0,0,0,0:48,0,15,2,0,0,0,0:00,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6,2,0,0,0,0:34,1,6,4,0,0,0,3:37,2,40,23,0,1,0,3:19,23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,29,28,29,28,29
Chris Curtis,Kelvin Gastelum,48,13,0,0,0,0:00,8,65,20,0,0,0,0:00,11,88,37,0,0,0,0:01,25,--,--,--,--,--,--,--,--,--,--,--,--,--,--,64,30,0,0,0,0:00,20,56,23,0,0,0,0:55,20,68,30,0,0,0,0:26,23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,28,29,27,30
Michelle Waterson-Gomez,Luana Pinheiro,67,20,0,0,0,0:00,5,62,19,0,0,0,0:00,9,59,22,0,1,0,1:01,4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,43,15,0,0,0,0:01,5,50,19,0,0,0,0:47,9,29,10,0,0,0,0:37,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,28,29,28,29
Ignacio Bahamondes,Trey Ogden,51,26,0,0,0,0:00,7,66,30,0,0,0,0:00,9,83,43,0,0,0,0:00,12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,22,9,0,0,0,0:00,3,45,16,0,0,0,0:00,8,42,17,0,0,0,0:00,13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,30,27,30,27
Jaqueline Amorim,Sam Hughes,25,7,0,2,3,3:24,7,6,3,0,0,0,0:17,3,21,2,0,0,0,0:01,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,25,11,0,0,0,0:02,11,21,6,0,1,0,3:29,6,58,29,0,0,0,3:31,28,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,28,29,28,29
Marlon Vera,Cory Sandhagen,13,5,0,0,0,0:00,4,15,6,0,0,1,0:00,4,56,20,0,0,0,0:00,8,38,13,0,0,0,0:00,6,36,14,0,0,0,0:09,6,69,32,0,1,0,2:30,20,29,18,0,1,0,2:50,14,67,32,0,0,0,0:03,17,67,24,0,0,0,0:08,19,48,22,0,1,0,1:37,14,45,50,46,49,48,47
Holly Holm,Yana Santos,16,7,0,1,0,1:41,5,33,16,0,1,0,4:09,12,14,9,0,2,0,3:59,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,25,12,0,0,0,1:19,2,12,7,0,0,0,0:00,1,9,2,0,0,0,0:00,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30,27,30,27,30,26
Andrea Lee,Maycee Barber,35,12,0,1,0,2:06,3,38,15,0,1,0,1:54,6,30,12,0,3,0,1:20,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,45,17,0,0,0,0:00,11,43,17,0,1,0,0:02,11,39,14,0,1,0,0:43,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,29,28,27,30
Chidi Njokuani,Albert Duraev,8,4,0,0,0,0:00,0,36,14,0,0,0,0:00,9,55,22,0,0,0,0:00,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,26,12,0,2,0,3:25,11,46,16,0,0,0,0:00,7,51,17,0,0,0,0:37,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,29,28,28,29
Steven Peterson,Lucas Alexander,34,11,0,0,0,0:00,2,31,8,0,0,0,0:03,4,36,7,0,0,0,0:28,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,41,24,0,0,0,0:05,12,54,27,0,0,0,0:08,10,63,34,1,0,0,0:42,21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27,30,27,30,27,30
Victor Altamirano,Vinicius Salvador,29,16,0,1,0,2:28,2,42,24,0,0,0,0:33,10,47,22,0,2,0,2:03,16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,33,11,0,0,0,0:00,4,56,24,0,1,0,0:14,15,41,12,0,0,0,0:07,7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,29,28,29,28
Leon Edwards,Kamaru Usman,26,20,0,0,0,0:00,5,26,23,0,0,0,0:00,9,32,24,0,0,0,0:00,2,41,25,0,0,0,0:00,9,36,28,0,0,0,0:00,9,42,12,0,0,0,0:19,5,50,24,0,1,0,0:45,19,32,17,0,1,0,1:06,9,37,14,0,1,0,0:51,7,44,20,0,1,0,2:02,17,48,46,48,46,47,47
Justin Gaethje,Rafael Fiziev,36,23,0,0,0,0:00,11,48,27,0,0,0,0:00,22,87,53,0,1,0,0:05,48,--,--,--,--,--,--,--,--,--,--,--,--,--,--,50,27,0,0,0,0:00,11,49,32,0,0,0,0:00,12,70,38,0,0,0,0:00,15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,28,28,29,28
Jennifer Maia,Casey O'Neill,113,47,0,0,0,0:04,37,119,51,0,0,0,0:23,44,117,47,0,0,0,0:56,42,--,--,--,--,--,--,--,--,--,--,--,--,--,--,96,43,0,0,0,0:00,35,84,47,0,0,0,0:00,36,84,47,0,0,0,0:00,37,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,29,28,30,27
Marvin Vettori,Roman Dolidze,75,38,0,0,0,0:00,24,69,28,0,0,0,0:00,11,74,40,0,0,0,0:00,25,--,--,--,--,--,--,--,--,--,--,--,--,--,--,71,29,0,0,0,0:00,20,50,16,0,0,0,0:05,12,71,26,0,0,0,0:09,20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,29,28,30,27
Chris Duncan,Omar Morales,40,24,0,0,0,0:12,6,24,14,0,1,0,2:42,1,19,15,0,4,0,3:37,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,42,26,0,0,0,0:00,18,17,7,0,0,0,0:02,4,21,14,0,0,0,0:00,10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29,28,29,28,27,30
Lerone Murphy,Gabriel Santos,58,33,0,0,0,0:59,18,44,25,0,1,0,1:14,13,59,35,0,0,0,0:05,28,--,--,--,--,--,--,--,--,--,--,--,--,--,--,54,36,0,2,0,0:39,16,32,13,0,1,0,1:45,8,36,20,0,2,0,1:36,8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28,29,29,28,29,28
