Round score,Diff_Sig_Strikes_Attempted,Diff_Sig_Strikes_Landed,Diff_KD,Diff_TD,Diff_Sub_Attempts,Diff_Ctrl_Time,Diff_Head_Strikes
-1,-10,-11,0,0,0,132,-2
1,8,11,0,0,0,3,13
-1,-8,-11,0,0,0,-3,-13
1,5,6,0,4,-1,215,4
-1,-5,-6,0,-4,1,-215,-4
1,-7,-1,0,4,0,193,4
-1,7,1,0,-4,0,-193,-4
1,0,-1,0,3,0,157,1
-1,0,1,0,-3,0,-157,-1
1,-26,3,0,0,0,-19,-2
-1,26,-3,0,0,0,19,2
1,11,-5,0,1,0,126,-3
-1,-11,5,0,-1,0,-126,3
1,-9,5,0,-1,0,-78,-2
-1,9,-5,0,1,0,78,2
1,-7,9,0,0,0,0,12
-1,7,-9,0,0,0,0,-12
1,-13,-1,0,2,0,-17,5
-1,13,1,0,-2,0,17,-5
1,-7,16,0,2,0,-1,10
-1,7,-16,0,-2,0,1,-10
1,20,6,-1,2,0,152,4
-1,-20,-6,1,-2,0,-152,-4
1,21,10,-1,1,0,159,10
-1,-21,-10,1,-1,0,-159,-10
1,-2,0,0,3,0,272,-2
-1,2,0,0,-3,0,-272,2
1,7,3,0,0,0,90,2
-1,-7,-3,0,0,0,-90,-2
1,10,4,0,0,0,8,3
-1,-10,-4,0,0,0,-8,-3
1,-2,5,1,-1,0,-3,6
-1,2,-5,-1,1,0,3,-6
1,-27,0,0,0,0,-76,-3
-1,27,0,0,0,0,76,3
1,-22,6,0,0,0,6,1
-1,22,-6,0,0,0,-6,-1
1,4,-6,0,2,2,173,2
-1,-4,6,0,-2,-2,-173,-2
1,29,16,0,0,0,0,9
-1,-29,-16,0,0,0,0,-9
1,7,6,0,0,0,0,1
-1,-7,-6,0,0,0,0,-1
1,6,19,0,0,0,0,9
-1,-6,-19,0,0,0,0,-9
1,13,17,0,0,0,0,6
-1,-13,-17,0,0,0,0,-6
1,18,-13,0,0,0,39,-4
-1,-18,13,0,0,0,-39,4
1,11,6,0,1,0,12,12
-1,-11,-6,0,-1,0,-12,-12
1,5,5,1,0,0,-73,8
-1,-5,-5,-1,0,0,73,-8
1,20,8,0,1,0,109,5
-1,-20,-8,0,-1,0,-109,-5
1,9,-4,1,0,0,165,4
-1,-9,4,-1,0,0,-165,-4
1,12,-4,0,0,0,0,-6
-1,-12,4,0,0,0,0,6
1,20,-9,0,0,0,3,-8
-1,-20,9,0,0,0,-3,8
1,-3,11,0,0,0,0,13
-1,3,-11,0,0,0,0,-13
1,22,44,0,0,0,0,46
-1,-22,-44,0,0,0,0,-46
1,16,23,0,0,0,20,22
-1,-16,-23,0,0,0,-20,-22
1,68,23,1,0,0,90,32
-1,-68,-23,-1,0,0,-90,-32
1,-19,0,0,0,0,6,-9
-1,19,0,0,0,0,-6,9
1,29,4,0,0,0,14,6
-1,-29,-4,0,0,0,-14,-6
1,26,12,0,0,0,0,7
-1,-26,-12,0,0,0,0,-7
1,37,20,0,-2,-1,-145,8
-1,-37,-20,0,2,1,145,-8
1,25,14,0,-1,0,-120,10
-1,-25,-14,0,1,0,120,-10
1,9,9,0,-1,0,-180,5
-1,-9,-9,0,1,0,180,-5
1,3,0,0,1,0,190,8
-1,-3,0,0,-1,0,-190,-8
1,10,8,0,0,0,-50,-5
-1,-10,-8,0,0,0,50,5
1,1,-2,0,1,0,6,2
-1,-1,2,0,-1,0,-6,-2
1,5,2,0,2,0,242,5
-1,-5,-2,0,-2,0,-242,-5
1,2,3,0,1,0,88,13
-1,-2,-3,0,-1,0,-88,-13
1,-6,-2,0,3,1,208,-1
-1,6,2,0,-3,-1,-208,1
1,2,4,0,0,0,169,2
-1,-2,-4,0,0,0,-169,-2
1,25,21,0,1,0,199,21
-1,-25,-21,0,-1,0,-199,-21
1,16,17,0,0,0,0,12
-1,-16,-17,0,0,0,0,-12
1,-9,3,0,0,0,55,9
-1,9,-3,0,0,0,-55,-9
1,20,7,0,0,0,-25,2
-1,-20,-7,0,0,0,25,-2
1,-24,-5,0,0,0,1,0
-1,24,5,0,0,0,-1,0
1,-12,0,0,0,0,47,0
-1,12,0,0,0,0,-47,0
1,30,12,0,1,0,24,2
-1,-30,-12,0,-1,0,-24,-2
1,29,17,0,0,0,0,4
-1,-29,-17,0,0,0,0,-4
1,21,14,0,0,0,0,1
-1,-21,-14,0,0,0,0,-1
1,41,26,0,0,0,0,-1
-1,-41,-26,0,0,0,0,1
1,0,-4,0,2,3,202,-4
-1,0,4,0,-2,-3,-202,4
1,15,3,0,1,0,192,3
-1,-15,-3,0,-1,0,-192,-3
1,37,27,0,0,0,210,26
-1,-37,-27,0,0,0,-210,-26
1,56,27,0,1,0,150,16
-1,-56,-27,0,-1,0,-150,-16
1,14,12,0,1,-1,170,10
-1,-14,-12,0,-1,1,-170,-10
1,-11,-12,0,0,0,-3,-9
-1,11,12,0,0,0,3,9
1,29,11,0,0,0,8,13
-1,-29,-11,0,0,0,-8,-13
1,12,8,0,1,0,88,8
-1,-12,-8,0,-1,0,-88,-8
1,-9,-5,0,1,0,22,3
-1,9,5,0,-1,0,-22,-3
1,21,9,0,1,0,249,11
-1,-21,-9,0,-1,0,-249,-11
1,5,7,0,2,0,239,6
-1,-5,-7,0,-2,0,-239,-6
1,10,5,0,-1,0,-126,8
-1,-10,-5,0,1,0,126,-8
1,5,2,0,0,0,-112,5
-1,-5,-2,0,0,0,112,-5
1,-9,-2,0,2,0,37,-8
-1,9,2,0,-2,0,-37,8
1,18,8,0,2,0,205,11
-1,-18,-8,0,-2,0,-205,-11
1,10,2,0,0,0,0,-2
-1,-10,-2,0,0,0,0,2
1,4,5,0,0,0,-37,6
-1,-4,-5,0,0,0,37,-6
1,7,13,0,0,0,5,10
-1,-7,-13,0,0,0,-5,-10
1,23,19,0,0,0,5,6
-1,-23,-19,0,0,0,-5,-6
1,27,27,1,0,0,14,19
-1,-27,-27,-1,0,0,-14,-19
1,-4,5,0,1,0,148,-2
-1,4,-5,0,-1,0,-148,2
1,14,0,0,1,0,-19,5
-1,-14,0,0,-1,0,19,-5
1,6,10,0,2,0,116,9
-1,-6,-10,0,-2,0,-116,-9
1,-16,8,0,0,0,-19,0
-1,16,-8,0,0,0,19,0
1,-24,-1,0,-1,0,-45,-10
-1,24,1,0,1,0,45,10
2,0,-7,0,1,0,66,7
-2,0,7,0,-1,0,-66,-7
1,4,11,0,-1,0,-51,2
-1,-4,-11,0,1,0,51,-2
1,-8,8,0,-1,0,-122,-8
-1,8,-8,0,1,0,122,8
1,14,4,0,0,0,0,0
-1,-14,-4,0,0,0,0,0
1,1,5,0,0,0,0,-10
-1,-1,-5,0,0,0,0,10
1,17,15,0,1,0,5,33
-1,-17,-15,0,-1,0,-5,-33
1,17,4,0,0,0,4,2
-1,-17,-4,0,0,0,-4,-2
