Winner,Opponent_A,Opponent_B,Rd1A,Rd2A,Rd3A,Rd4A,Rd5A,Rd1B,Rd2B,Rd3B,Rd4B,Rd5B,Rd1C,Rd2C,Rd3C,Rd4C,Rd5C,Media_score_ratio_of_agreement,Full_Scores,Rd1_Fans,Rd2_Fans,Rd3_Fans,Rd4_Fans,Rd5_Fans
Williams,Karl Williams,Chase Sherman,1,1,1,--,--,1,1,1,--,--,1,-1,1,--,--,1.0,"['30', '27', '30', '27', '29', '28']",0.914,-0.404,-0.022
Silva de Andrade,Douglas Silva de Andrade,Cody Stamann,1,1,-1,--,--,1,1,-1,--,--,1,1,-1,--,--,0.714,"['29', '28', '29', '28', '29', '28']",0.536,0.701,-1.093
Bohm,Mandy Bohm,Ji Yeon Kim,1,-1,-1,--,--,-1,-1,-1,--,--,1,-1,-1,--,--,0.091,"['28', '27', '27', '28', '28', '27']",-0.705,0.032,0.042
Sterling,Aljamain Sterling,Henry Cejudo,1,-1,-1,1,-1,1,-1,-1,1,1,1,1,-1,1,-1,0.913,"['47', '48', '48', '47', '48', '47']",0.902,-0.327,-0.169,0.825,-0.89
Muhammad,Belal Muhammad,Gilbert Burns,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1.0,"['50', '45', '49', '46', '49', '46']",0.898,0.401,0.866,0.579,0.733
Evloev,Movsar Evloev,Diego Lopes,-1,1,1,--,--,1,1,-1,--,--,1,1,1,--,--,1.0,"['29', '28', '29', '28', '30', '27']",-0.669,1.053,0.071
Jourdain,Charles Jourdain,Kron Gracie,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']",1.001,1.031,1.046
Williams,Khaos Williams,Rolando Bedoya,1,1,-1,--,--,1,1,-1,--,--,-1,-1,-1,--,--,0.533,"['29', '28', '29', '28', '27', '30']",0.426,-0.245,-0.921
de Lima,Marcos Rogério de Lima,Waldo Cortes-Acosta,1,1,-1,--,--,1,1,-1,--,--,1,1,-1,--,--,1.0,"['29', '28', '29', '28', '29', '28']"
Waters,Trey Waters,Josh Quinlan,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Buday,Martin Buday,Jake Collier,-1,1,1,--,--,-1,1,1,--,--,-1,1,1,--,--,0.8,"['29', '28', '29', '28', '29', '28']"
Durden,Cody Durden,Charles Johnson,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Horth,Jamey-Lyn Horth,Hailey Cowan,1,-1,1,--,--,1,-1,1,--,--,1,-1,1,--,--,0.692,"['29', '28', '29', '28', '29', '28']",0.63,-0.826,0.217
Lucindo,Iasmin Lucindo,Brogan Walker,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']"
Wells,Jeremiah Wells,Matthew Semelsberger,1,1,1,--,--,1,1,1,--,--,-1,-1,1,--,--,0.938,"['30', '27', '30', '27', '28', '29']",-0.672,-0.503,0.949
Dumont,Norma Dumont,Karol Rosa,1,1,-1,--,--,1,1,-1,--,--,1,1,-1,--,--,0.786,"['29', '28', '29', '28', '29', '28']",0.9,0.45,-0.975
Usman,Mohammed Usman,Justin Tafa,-1,1,1,--,--,-1,1,1,--,--,-1,1,1,--,--,0.941,"['29', '28', '29', '28', '29', '28']",-1.011,0.022,0.372
Gomis,William Gomis,Francis Marshall,1,1,-1,--,--,1,-1,-1,--,--,1,1,-1,--,--,0.692,"['29', '28', '28', '29', '29', '28']",0.382,0.603,-1.045
Holloway,Max Holloway,Arnold Allen,1,-1,1,1,-1,1,1,1,1,-1,1,1,1,1,-1,1.0,"['48', '47', '49', '46', '49', '46']",0.927,-0.588,0.975,0.728,-0.222
Murzakanov,Azamat Murzakanov,Dustin Jacoby,1,1,-1,--,--,1,1,-1,--,--,1,1,-1,--,--,1.0,"['29', '28', '29', '28', '29', '28']",0.976,0.857,-0.976
Munhoz,Pedro Munhoz,Chris Gutierrez,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']",1.0,0.014,0.056
Garcia,Rafa Garcia,Clay Guida,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,"['30', '27', '30', '27', '30', '27']",0.677,0.972,0.942
