Number_of_Rounds,Opponent_A_Wins,Method,Opponent_A,Total_Strikes_Attempted_(A),Round_1_Sig_Strikes_Attempted_(A),Round_1_Sig_Strikes_Landed_(A),Round_1_KD_(A),Round_1_TD_(A),Round_1_Sub_Attempts_(A),Round_1_Ctrl_Time_(A),Round_1_Head_Strikes_(A),Round_2_Sig_Strikes_Attempted_(A),Round_2_Sig_Strikes_Landed_(A),Round_2_KD_(A),Round_2_TD_(A),Round_2_Sub_Attempts_(A),Round_2_Ctrl_Time_(A),Round_2_Head_Strikes_(A),Round_3_Sig_Strikes_Attempted_(A),Round_3_Sig_Strikes_Landed_(A),Round_3_KD_(A),Round_3_TD_(A),Round_3_Sub_Attempts_(A),Round_3_Ctrl_Time_(A),Round_3_Head_Strikes_(A),Round_4_Sig_Strikes_Attempted_(A),Round_4_Sig_Strikes_Landed_(A),Round_4_KD_(A),Round_4_TD_(A),Round_4_Sub_Attempts_(A),Round_4_Ctrl_Time_(A),Round_4_Head_Strikes_(A),Round_5_Sig_Strikes_Attempted_(A),Round_5_Sig_Strikes_Landed_(A),Round_5_KD_(A),Round_5_TD_(A),Round_5_Sub_Attempts_(A),Round_5_Ctrl_Time_(A),Round_5_Head_Strikes_(A),Opponent_B,Total_Strikes_Attempted_(B),Round_1_Sig_Strikes_Attempted_(B),Round_1_Sig_Strikes_Landed_(B),Round_1_KD_(B),Round_1_TD_(B),Round_1_Sub_Attempts_(B),Round_1_Ctrl_Time_(B),Round_1_Head_Strikes_(B),Round_2_Sig_Strikes_Attempted_(B),Round_2_Sig_Strikes_Landed_(B),Round_2_KD_(B),Round_2_TD_(B),Round_2_Sub_Attempts_(B),Round_2_Ctrl_Time_(B),Round_2_Head_Strikes_(B),Round_3_Sig_Strikes_Attempted_(B),Round_3_Sig_Strikes_Landed_(B),Round_3_KD_(B),Round_3_TD_(B),Round_3_Sub_Attempts_(B),Round_3_Ctrl_Time_(B),Round_3_Head_Strikes_(B),Round_4_Sig_Strikes_Attempted_(B),Round_4_Sig_Strikes_Landed_(B),Round_4_KD_(B),Round_4_TD_(B),Round_4_Sub_Attempts_(B),Round_4_Ctrl_Time_(B),Round_4_Head_Strikes_(B),Round_5_Sig_Strikes_Attempted_(B),Round_5_Sig_Strikes_Landed_(B),Round_5_KD_(B),Round_5_TD_(B),Round_5_Sub_Attempts_(B),Round_5_Ctrl_Time_(B),Round_5_Head_Strikes_(B),Decision1,Decision2,Decision3,Winner,Opponent_A_dec,Rd1A,Rd2A,Rd3A,Rd4A,Rd5A,Rd1B,Rd2B,Rd3B,Rd4B,Rd5B,Rd1C,Rd2C,Rd3C,Rd4C,Rd5C,Media score ratio of agreement,Rd1 Fans,Rd2 Fans,Rd3 Fans,Rd4 Fans,Rd5 Fans
3,1,2,Seo Hee Ham,188,43,16,0,0,0,0:00,14,59,24,0,0,0,0:17,14,72,31,0,0,0,1:46,15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Cortney Casey,229,99,38,0,0,0,0:02,21,64,15,0,0,0,0:00,11,64,25,0,0,0,0:19,19,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28 29,28 29,28 29,Ham,Seo Hee Ham,-1,1,1,--,--,-1,1,1,--,--,-1,1,1,--,--,0.875,nan,nan,nan,nan,nan
3,0,3,Guangyou Ning,111,12,3,0,0,0,0:00,0,21,9,0,0,0,2:04,5,28,11,0,0,0,1:45,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Marco Beltran,108,20,6,0,1,0,0:02,0,19,4,0,0,0,0:00,2,51,20,0,0,0,0:00,11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28 29,29 28,28 29,Beltran,Marco Beltran,1,-1,-1,--,--,1,-1,1,--,--,1,-1,1,--,--,0.571,nan,nan,nan,nan,nan
5,1,3,Neil Magny,174,26,7,0,2,0,1:55,6,37,16,0,2,0,1:51,10,35,15,0,1,0,1:03,11,24,6,0,0,0,0:19,4,23,10,0,1,0,0:26,10,Kelvin Gastelum,167,12,10,0,0,0,0:33,5,28,10,0,0,0,0:42,6,25,11,0,1,0,0:56,7,26,10,2,0,0,2:41,8,43,13,0,1,0,2:23,8,47 48,48 47,47 48,Magny,Neil Magny,1,1,1,-1,-1,1,1,1,-1,-1,1,1,-1,-1,-1,0.267,0.992,0.972,0.761,-1.522,-1.003
3,1,2,Ricardo Lamas,122,43,20,0,2,0,1:11,6,30,20,0,1,0,2:30,9,36,17,0,0,0,0:59,10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Diego Sanchez,92,30,9,0,0,0,0:30,8,22,12,0,1,0,0:55,6,34,9,0,0,0,0:00,8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27 30,27 30,27 30,Lamas,Ricardo Lamas,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,nan,nan,nan,nan,nan
3,0,3,Jussier Formiga,102,29,9,0,0,0,0:00,4,40,11,0,0,0,0:00,7,18,5,0,0,0,0:00,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Henry Cejudo,140,43,15,0,1,0,0:12,3,46,14,0,0,0,0:00,5,21,14,0,1,0,1:04,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27 30,27 30,29 28,Cejudo,Henry Cejudo,1,1,1,--,--,1,1,1,--,--,-1,-1,1,--,--,1.0,0.908,0.545,0.886,nan,nan
3,0,2,Horacio Gutierrez,45,18,4,0,0,0,0:00,1,6,3,0,0,0,0:00,2,14,3,0,0,0,0:00,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Enrique Barzola,221,25,13,0,3,0,2:44,9,17,11,0,1,0,4:26,9,29,14,0,1,0,3:50,13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27 30,27 30,26 30,Barzola,Enrique Barzola,1,1,1,--,--,1,2,1,--,--,1,1,1,--,--,1.0,nan,nan,nan,nan,nan
3,0,2,Efrain Escudero,101,30,10,0,0,0,1:05,1,19,10,0,2,0,3:57,8,14,4,0,0,0,0:02,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Leandro Silva,103,37,15,0,0,0,0:20,7,17,6,0,0,0,0:00,4,35,14,0,0,0,3:03,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28 29,28 29,28 29,Silva,Leandro Silva,1,-1,1,--,--,1,-1,1,--,--,1,-1,1,--,--,1.0,nan,nan,nan,nan,nan
3,1,2,Erik Perez,172,48,10,0,0,0,0:00,6,25,13,0,0,0,0:00,5,19,8,0,1,0,0:00,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Taylor Lapilus,82,45,15,0,0,0,0:02,8,16,3,1,0,1,3:41,3,17,2,0,0,0,3:28,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28 29,28 29,28 29,Perez,Erik Perez,-1,1,1,--,--,1,-1,1,--,--,-1,1,1,--,--,1.0,nan,nan,nan,nan,nan
3,0,2,Hector Urbina,31,2,0,0,0,0,0:00,0,14,5,0,0,2,0:17,4,9,5,0,0,1,0:02,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Bartosz Fabinski,118,11,8,0,2,0,4:50,8,19,11,0,3,0,4:03,9,9,6,0,1,0,4:40,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28 29,27 30,27 30,Fabinski,Bartosz Fabinski,1,1,1,--,--,1,1,1,--,--,-1,1,1,--,--,1.0,nan,nan,nan,nan,nan
3,0,3,Valmir Lazaro,123,48,18,0,0,0,0:00,10,18,7,0,0,0,2:20,4,36,16,0,0,0,1:09,15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Michel Prazeres,60,26,13,0,1,0,0:12,9,13,5,0,0,0,1:05,2,14,2,0,0,0,0:44,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28 29,29 28,28 29,Prazeres,Michel Prazeres,1,1,-1,--,--,1,-1,-1,--,--,1,1,-1,--,--,0.0,0.325,-0.73,-0.946,nan,nan
