Number_of_Rounds,Opponent_A_Wins,Method,Opponent_A,Total_Strikes_Attempted_(A),Round_1_Sig_Strikes_Attempted_(A),Round_1_Sig_Strikes_Landed_(A),Round_1_KD_(A),Round_1_TD_(A),Round_1_Sub_Attempts_(A),Round_1_Ctrl_Time_(A),Round_1_Head_Strikes_(A),Round_2_Sig_Strikes_Attempted_(A),Round_2_Sig_Strikes_Landed_(A),Round_2_KD_(A),Round_2_TD_(A),Round_2_Sub_Attempts_(A),Round_2_Ctrl_Time_(A),Round_2_Head_Strikes_(A),Round_3_Sig_Strikes_Attempted_(A),Round_3_Sig_Strikes_Landed_(A),Round_3_KD_(A),Round_3_TD_(A),Round_3_Sub_Attempts_(A),Round_3_Ctrl_Time_(A),Round_3_Head_Strikes_(A),Round_4_Sig_Strikes_Attempted_(A),Round_4_Sig_Strikes_Landed_(A),Round_4_KD_(A),Round_4_TD_(A),Round_4_Sub_Attempts_(A),Round_4_Ctrl_Time_(A),Round_4_Head_Strikes_(A),Round_5_Sig_Strikes_Attempted_(A),Round_5_Sig_Strikes_Landed_(A),Round_5_KD_(A),Round_5_TD_(A),Round_5_Sub_Attempts_(A),Round_5_Ctrl_Time_(A),Round_5_Head_Strikes_(A),Opponent_B,Total_Strikes_Attempted_(B),Round_1_Sig_Strikes_Attempted_(B),Round_1_Sig_Strikes_Landed_(B),Round_1_KD_(B),Round_1_TD_(B),Round_1_Sub_Attempts_(B),Round_1_Ctrl_Time_(B),Round_1_Head_Strikes_(B),Round_2_Sig_Strikes_Attempted_(B),Round_2_Sig_Strikes_Landed_(B),Round_2_KD_(B),Round_2_TD_(B),Round_2_Sub_Attempts_(B),Round_2_Ctrl_Time_(B),Round_2_Head_Strikes_(B),Round_3_Sig_Strikes_Attempted_(B),Round_3_Sig_Strikes_Landed_(B),Round_3_KD_(B),Round_3_TD_(B),Round_3_Sub_Attempts_(B),Round_3_Ctrl_Time_(B),Round_3_Head_Strikes_(B),Round_4_Sig_Strikes_Attempted_(B),Round_4_Sig_Strikes_Landed_(B),Round_4_KD_(B),Round_4_TD_(B),Round_4_Sub_Attempts_(B),Round_4_Ctrl_Time_(B),Round_4_Head_Strikes_(B),Round_5_Sig_Strikes_Attempted_(B),Round_5_Sig_Strikes_Landed_(B),Round_5_KD_(B),Round_5_TD_(B),Round_5_Sub_Attempts_(B),Round_5_Ctrl_Time_(B),Round_5_Head_Strikes_(B),Decision1,Decision2,Decision3,Winner,Opponent_A_dec,Rd1A,Rd2A,Rd3A,Rd4A,Rd5A,Rd1B,Rd2B,Rd3B,Rd4B,Rd5B,Rd1C,Rd2C,Rd3C,Rd4C,Rd5C,Media score ratio of agreement,Rd1 Fans,Rd2 Fans,Rd3 Fans,Rd4 Fans,Rd5 Fans
5,1,2,Mackenzie Dern,340,42,23,1,0,0,3:08,19,49,22,0,0,0,0:00,13,39,30,0,1,0,3:23,29,50,24,0,1,0,2:03,16,30,27,0,1,0,4:38,27,Angela Hill,142,16,12,0,0,0,1:02,5,40,27,0,0,0,3:33,10,8,1,0,0,0,1:04,1,38,23,0,0,0,1:32,10,6,3,0,0,0,0:00,1,43 49,44 49,44 49,Dern,Mackenzie Dern,1,-1,2,1,2,1,-1,2,1,2,2,-1,2,1,2,1.0,1.622,-0.828,2.043,0.926,1.741
3,1,2,Karolina Kowalkiewicz,249,84,42,0,0,0,0:23,33,82,55,0,0,0,0:00,30,71,42,0,0,0,1:29,31,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Vanessa Demopoulos,237,71,28,0,0,0,0:00,20,86,22,0,0,0,0:00,13,64,18,0,0,0,0:00,16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27 30,27 30,27 30,Kowalkiewicz,Karolina Kowalkiewicz,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,nan,nan,nan,nan,nan
3,0,3,Ilir Latifi,105,44,28,0,0,0,0:00,8,17,11,0,1,0,2:12,5,16,10,0,1,0,1:38,7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Rodrigo Nascimento,160,73,34,0,0,0,0:00,26,36,15,0,0,0,0:00,10,43,19,0,0,0,0:00,15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28 29,29 28,28 29,Nascimento,Rodrigo Nascimento,1,-1,1,--,--,1,-1,1,--,--,1,-1,-1,--,--,0.923,0.842,-0.684,0.316,nan,nan
3,1,2,Chase Hooper,340,101,60,0,0,0,0:55,44,90,56,0,0,1,0:54,43,54,33,0,1,0,2:05,23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Nick Fiore,98,32,17,0,1,0,1:32,17,31,15,0,2,0,1:36,14,27,19,0,1,0,1:39,18,--,--,--,--,--,--,--,--,--,--,--,--,--,--,26 30,27 30,27 30,Hooper,Chase Hooper,1,1,1,--,--,2,1,1,--,--,1,1,1,--,--,1.0,1.267,0.999,1.001,nan,nan
3,0,2,Takashi Sato,76,8,3,0,1,0,0:32,2,17,14,0,1,0,1:14,9,22,13,0,0,0,0:35,10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Themba Gorimbo,158,16,7,0,1,0,3:58,1,30,18,1,1,0,3:20,15,10,8,0,1,0,3:57,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27 30,27 30,27 30,Gorimbo,Themba Gorimbo,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,nan,nan,nan,nan,nan
3,0,2,Anthony Smith,95,22,10,0,1,0,1:22,8,34,18,0,0,0,0:00,8,36,10,0,0,0,0:00,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Johnny Walker,204,58,28,0,1,0,0:06,16,59,31,0,0,0,0:00,7,75,33,0,0,0,0:26,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28 29,27 30,27 30,Walker,Johnny Walker,1,1,1,--,--,1,1,1,--,--,1,-1,1,--,--,1.0,0.955,0.254,1.15,nan,nan
3,1,2,Karl Williams,191,43,19,0,1,0,1:41,14,63,23,0,0,0,0:23,17,59,28,0,0,0,0:31,22,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Chase Sherman,170,39,11,0,0,0,0:00,6,56,13,0,0,0,0:00,5,63,30,0,0,0,0:12,15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27 30,27 30,28 29,Williams,Karl Williams,1,1,1,--,--,1,1,1,--,--,1,-1,1,--,--,1.0,0.914,-0.392,-0.044,nan,nan
3,0,2,Cody Stamann,152,39,14,0,1,0,0:06,8,44,14,0,0,0,0:21,10,56,26,1,0,0,1:32,22,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Douglas Silva de Andrade,189,72,23,0,0,0,0:00,7,52,21,0,0,0,0:00,4,54,17,0,0,0,0:00,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28 29,28 29,28 29,Silva de Andrade,Douglas Silva de Andrade,1,1,-1,--,--,1,1,-1,--,--,1,1,-1,--,--,0.714,0.531,0.698,-1.094,nan,nan
3,0,3,Ji Yeon Kim,62,5,1,0,0,0,2:43,1,26,9,0,0,1,1:54,4,5,0,0,0,0,1:07,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Mandy Bohm,51,3,3,0,1,1,1:59,2,23,12,0,1,0,1:42,7,5,2,0,0,0,0:24,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27 28,28 27,27 28,Bohm,Mandy Bohm,1,-1,-1,--,--,-1,-1,-1,--,--,1,-1,-1,--,--,0.091,-0.696,0.033,0.043,nan,nan
5,1,3,Aljamain Sterling,261,34,20,0,2,0,1:37,5,55,29,0,0,0,0:00,10,29,26,0,1,0,1:30,12,52,36,0,1,0,0:38,11,40,24,0,0,0,0:15,13,Henry Cejudo,219,18,7,0,1,0,1:47,3,53,31,0,0,0,0:02,10,29,15,0,1,0,1:43,7,33,19,0,0,0,0:46,7,41,27,0,1,0,0:48,8,47 48,48 47,47 48,Sterling,Aljamain Sterling,1,-1,-1,1,-1,1,-1,-1,1,1,1,1,-1,1,-1,0.913,0.904,-0.33,-0.167,0.826,-0.89
5,1,2,Belal Muhammad,283,39,19,0,0,0,0:00,9,51,18,0,0,0,0:00,11,59,25,0,0,0,0:00,20,54,28,0,0,0,0:00,18,80,42,0,0,0,0:00,34,Gilbert Burns,147,31,15,0,0,0,0:00,7,28,15,0,0,0,0:00,6,22,14,0,0,0,0:00,7,23,16,0,0,0,0:00,6,43,21,0,0,0,0:00,9,45 50,46 49,46 49,Muhammad,Belal Muhammad,1,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,1.0,0.901,0.388,0.868,0.572,0.73
3,1,2,Movsar Evloev,228,22,16,0,1,0,3:34,14,66,39,0,1,0,2:20,37,41,33,0,2,0,2:36,25,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Diego Lopes,82,27,17,0,0,1,0:25,13,24,10,0,0,0,0:00,7,18,10,0,0,3,0:16,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28 29,28 29,27 30,Evloev,Movsar Evloev,-1,1,1,--,--,1,1,-1,--,--,1,1,1,--,--,1.0,-0.677,1.056,0.087,nan,nan
3,0,2,Kron Gracie,216,22,12,0,0,0,0:29,4,14,10,0,0,0,0:14,5,21,10,0,0,0,0:00,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Charles Jourdain,266,46,21,0,0,0,1:33,19,47,21,0,0,0,3:03,17,75,38,0,0,0,2:12,23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27 30,27 30,27 30,Jourdain,Charles Jourdain,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,0.999,1.032,1.046,nan,nan
3,1,3,Khaos Williams,284,88,44,0,0,0,0:48,21,90,39,0,0,0,0:18,17,105,47,0,0,0,0:07,30,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Rolando Bedoya,210,56,44,0,0,0,0:00,26,60,40,0,0,0,0:00,25,93,65,0,0,0,0:07,52,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28 29,28 29,30 27,Williams,Khaos Williams,1,1,-1,--,--,1,1,-1,--,--,-1,-1,-1,--,--,0.533,0.415,-0.25,-0.929,nan,nan
3,1,2,Marcos Rogerio de Lima,95,34,27,0,1,0,1:35,7,19,15,0,2,0,3:00,6,23,17,0,0,0,0:26,7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Waldo Cortes-Acosta,156,39,20,0,0,0,0:34,7,37,19,0,0,0,0:00,13,74,43,0,0,0,0:00,34,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28 29,28 29,28 29,de Lima,Marcos Rogério de Lima,1,1,-1,--,--,1,1,-1,--,--,1,1,-1,--,--,1.0,nan,nan,nan,nan,nan
3,0,2,Josh Quinlan,128,28,12,0,1,0,0:54,5,41,18,0,0,0,0:00,7,59,20,0,0,0,0:00,14,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Trey Waters,205,40,29,0,0,0,0:08,23,79,35,0,0,0,0:00,31,84,40,0,1,0,0:19,39,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27 30,27 30,27 30,Waters,Trey Waters,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,nan,nan,nan,nan,nan
3,1,2,Martin Buday,229,51,27,0,0,0,0:20,20,65,38,0,0,0,0:08,22,61,33,0,0,0,1:17,24,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Jake Collier,226,99,45,0,0,0,0:57,32,55,27,0,0,0,2:20,20,53,22,0,0,0,1:14,11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28 29,28 29,28 29,Buday,Martin Buday,-1,1,1,--,--,-1,1,1,--,--,-1,1,1,--,--,0.8,nan,nan,nan,nan,nan
3,1,2,Cody Durden,128,19,13,0,4,0,3:35,7,33,21,0,4,0,3:18,16,47,22,0,3,0,2:40,16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Charles Johnson,109,14,7,0,0,1,0:00,3,40,22,0,0,0,0:05,12,47,23,0,0,0,0:03,15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27 30,27 30,27 30,Durden,Cody Durden,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,nan,nan,nan,nan,nan
3,0,2,Hailey Cowan,173,55,21,0,0,0,0:54,15,53,23,0,1,0,2:13,11,42,19,0,1,0,1:43,12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Jamey-Lyn Horth,128,29,24,0,0,0,0:35,13,42,28,0,0,0,0:07,14,33,24,0,0,0,0:25,10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28 29,28 29,28 29,Horth,Jamey-Lyn Horth,1,-1,1,--,--,1,-1,1,--,--,1,-1,1,--,--,0.692,0.63,-0.826,0.217,nan,nan
3,1,2,Iasmin Lucindo,123,43,17,0,0,0,0:00,13,29,11,0,2,0,0:44,7,46,25,0,2,0,0:02,13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Brogan Walker,149,50,8,0,0,0,0:00,1,42,12,0,0,0,1:01,2,53,9,0,0,0,0:03,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27 30,27 30,27 30,Lucindo,Iasmin Lucindo,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,nan,nan,nan,nan,nan
3,1,3,Jeremiah Wells,158,38,17,0,2,0,3:31,14,33,16,0,1,0,3:09,15,5,3,0,3,0,4:32,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Matthew Semelsberger,59,18,11,1,0,0,0:59,10,12,6,1,0,0,0:30,5,7,3,0,0,0,0:00,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27 30,29 28,27 30,Wells,Jeremiah Wells,1,1,1,--,--,1,1,1,--,--,-1,-1,1,--,--,0.938,-0.68,-0.511,0.949,nan,nan
3,0,2,Karol Rosa,194,19,8,0,0,0,0:00,3,18,7,0,0,0,1:57,4,31,18,1,0,0,1:16,12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Norma Dumont,129,26,11,0,0,0,1:30,5,28,11,0,0,0,2:05,7,33,13,0,1,0,1:19,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28 29,28 29,28 29,Dumont,Norma Dumont,1,1,-1,--,--,1,1,-1,--,--,1,1,-1,--,--,0.786,0.9,0.45,-0.975,nan,nan
3,0,3,Francis Marshall,165,47,5,0,0,0,1:16,4,56,6,0,0,0,0:11,3,29,4,0,2,2,2:53,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,William Gomis,84,20,5,0,0,0,0:00,1,34,12,0,0,0,0:17,4,25,10,0,0,0,0:00,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28 29,29 28,28 29,Gomis,William Gomis,1,1,-1,--,--,1,-1,-1,--,--,1,1,-1,--,--,0.692,0.382,0.603,-1.045,nan,nan
5,1,2,Max Holloway,264,62,27,0,0,0,0:00,13,49,25,0,0,0,0:00,11,51,33,0,0,0,0:00,20,52,29,0,0,0,0:00,12,48,33,0,0,0,0:03,21,Arnold Allen,229,33,11,0,0,0,0:00,4,42,19,0,0,0,0:00,10,45,14,0,0,0,0:00,11,39,12,0,0,0,0:00,6,66,20,0,0,0,0:42,17,46 49,46 49,47 48,Holloway,Max Holloway,1,-1,1,1,-1,1,1,1,1,-1,1,1,1,1,-1,1.0,0.926,-0.581,0.974,0.723,-0.221
3,0,2,Dustin Jacoby,167,39,19,0,0,0,0:00,8,40,21,0,0,0,1:17,12,52,24,0,1,0,1:49,16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Azamat Murzakanov,130,50,25,0,1,0,0:12,20,45,26,1,0,0,0:04,20,32,16,0,0,0,0:00,11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28 29,28 29,28 29,Murzakanov,Azamat Murzakanov,1,1,-1,--,--,1,1,-1,--,--,1,1,-1,--,--,1.0,0.976,0.857,-0.976,nan,nan
3,1,2,Pedro Munhoz,188,32,10,1,0,0,2:51,9,59,20,0,0,0,0:00,3,83,30,0,0,0,0:03,8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Chris Gutierrez,135,23,14,0,0,0,0:06,5,47,24,0,0,0,0:00,9,63,39,0,0,0,0:00,16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27 30,27 30,27 30,Munhoz,Pedro Munhoz,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,1.0,0.0,0.043,nan,nan
3,0,2,Clay Guida,252,92,23,0,0,0,0:00,16,88,21,0,0,0,0:00,17,72,19,0,0,0,0:00,16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Rafa Garcia,289,89,34,0,0,0,0:00,29,110,65,0,0,0,0:00,63,88,42,0,0,0,0:20,38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27 30,27 30,27 30,Garcia,Rafa Garcia,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,0.667,0.971,0.94,nan,nan
3,0,2,Lando Vannata,91,23,17,0,0,0,0:00,5,36,22,0,0,0,0:06,8,32,12,0,0,0,0:00,7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Daniel Zellhuber,225,91,40,1,0,0,1:30,37,55,22,0,0,0,0:00,17,61,16,0,0,0,0:14,13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27 29,28 29,27 30,Zellhuber,Daniel Zellhuber,1,1,1,--,--,2,-1,1,--,--,1,-1,1,--,--,1.0,1.755,-0.96,0.388,nan,nan
3,0,2,Aaron Phillips,104,26,10,0,0,0,0:00,2,9,5,0,2,1,3:05,3,4,2,0,1,0,2:56,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Gaston Bolanos,135,52,22,0,0,0,0:00,9,46,25,0,0,0,0:40,11,29,16,0,0,0,0:56,12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28 29,27 30,27 30,Bolanos,Gaston Bolanos,1,-1,1,--,--,1,1,1,--,--,1,1,1,--,--,0.667,0.974,-0.051,-0.18,nan,nan
3,1,3,Joselyne Edwards,153,36,17,0,0,0,0:11,10,22,12,0,0,0,0:09,2,56,27,0,0,0,0:09,7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Lucie Pudilova,138,27,8,0,1,0,3:11,5,25,12,0,1,0,3:19,10,46,19,0,0,0,0:59,12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28 29,29 28,28 29,Edwards,Joselyne Edwards,1,-1,-1,--,--,1,-1,1,--,--,1,-1,1,--,--,0.0,-0.658,-0.963,0.212,nan,nan
3,1,2,Gilbert Burns,135,39,13,0,1,0,0:06,7,16,7,0,2,0,4:05,6,44,22,0,1,0,1:30,21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Jorge Masvidal,130,38,15,0,0,0,0:00,5,11,5,0,0,0,0:03,1,42,19,0,0,0,0:02,8,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27 30,27 30,28 29,Burns,Gilbert Burns,-1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,0.506,1.001,1.064,nan,nan
3,0,2,Raul Rosas Jr.,19,0,0,0,3,1,4:02,0,4,0,0,0,0,0:48,0,15,2,0,0,0,0:00,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Christian Rodriguez,115,6,2,0,0,0,0:34,1,6,4,0,0,0,3:37,2,40,23,0,1,0,3:19,23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28 29,28 29,28 29,Rodriguez,Christian Rodriguez,-1,1,2,--,--,-1,1,1,--,--,-1,1,1,--,--,1.0,-1.059,1.008,1.378,nan,nan
3,0,2,Chris Curtis,216,48,13,0,0,0,0:00,8,65,20,0,0,0,0:00,11,88,37,0,0,0,0:01,25,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Kelvin Gastelum,195,64,30,0,0,0,0:00,20,56,23,0,0,0,0:55,20,68,30,0,0,0,0:26,23,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28 29,28 29,27 30,Gastelum,Kelvin Gastelum,1,1,-1,--,--,1,1,-1,--,--,1,1,1,--,--,0.81,0.926,0.293,-0.846,nan,nan
3,0,3,Michelle Waterson-Gomez,199,67,20,0,0,0,0:00,5,62,19,0,0,0,0:00,9,59,22,0,1,0,1:01,4,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Luana Pinheiro,132,43,15,0,0,0,0:01,5,50,19,0,0,0,0:47,9,29,10,0,0,0,0:37,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29 28,28 29,28 29,Pinheiro,Luana Pinheiro,1,-1,-1,--,--,1,1,-1,--,--,1,1,-1,--,--,0.294,-0.248,0.226,-0.886,nan,nan
3,1,2,Ignacio Bahamondes,200,51,26,0,0,0,0:00,7,66,30,0,0,0,0:00,9,83,43,0,0,0,0:00,12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Trey Ogden,109,22,9,0,0,0,0:00,3,45,16,0,0,0,0:00,8,42,17,0,0,0,0:00,13,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27 30,27 30,28 29,Bahamondes,Ignacio Bahamondes,1,-1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,1.0,0.85,1.0,nan,nan
3,0,2,Jaqueline Amorim,109,25,7,0,2,3,3:24,7,6,3,0,0,0,0:17,3,21,2,0,0,0,0:01,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Sam Hughes,176,25,11,0,0,0,0:02,11,21,6,0,1,0,3:29,6,58,29,0,0,0,3:31,28,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28 29,28 29,28 29,Hughes,Sam Hughes,-1,1,1,--,--,-1,1,1,--,--,-1,1,1,--,--,0.864,-1.388,1.001,1.163,nan,nan
5,0,3,Marlon Vera,177,13,5,0,0,0,0:00,4,15,6,0,0,1,0:00,4,56,20,0,0,0,0:00,8,38,13,0,0,0,0:00,6,36,14,0,0,0,0:09,6,Cory Sandhagen,378,69,32,0,1,0,2:30,20,29,18,0,1,0,2:50,14,67,32,0,0,0,0:03,17,67,24,0,0,0,0:08,19,48,22,0,1,0,1:37,14,48 47,45 50,46 49,Sandhagen,Cory Sandhagen,1,1,1,1,1,1,1,-1,1,1,1,1,-1,-1,-1,1.0,1.144,1.06,0.516,0.806,0.725
3,1,2,Holly Holm,163,16,7,0,1,0,1:41,5,33,16,0,1,0,4:09,12,14,9,0,2,0,3:59,6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Yana Santos,185,25,12,0,0,0,1:19,2,12,7,0,0,0,0:00,1,9,2,0,0,0,0:00,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,26 30,27 30,27 30,Holm,Holly Holm,1,1,1,--,--,1,1,1,--,--,1,2,1,--,--,1.0,0.804,1.589,1.321,nan,nan
3,0,3,Andrea Lee,125,35,12,0,1,0,2:06,3,38,15,0,1,0,1:54,6,30,12,0,3,0,1:20,1,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Maycee Barber,158,45,17,0,0,0,0:00,11,43,17,0,1,0,0:02,11,39,14,0,1,0,0:43,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29 28,28 29,27 30,Barber,Maycee Barber,1,1,-1,--,--,1,-1,-1,--,--,1,1,1,--,--,0.529,-0.169,-0.454,-0.485,nan,nan
3,0,3,Chidi Njokuani,104,8,4,0,0,0,0:00,0,36,14,0,0,0,0:00,9,55,22,0,0,0,0:00,9,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Albert Duraev,159,26,12,0,2,0,3:25,11,46,16,0,0,0,0:00,7,51,17,0,0,0,0:37,3,--,--,--,--,--,--,--,--,--,--,--,--,--,--,29 28,28 29,28 29,Duraev,Albert Duraev,1,1,-1,--,--,1,-1,-1,--,--,1,1,-1,--,--,0.5,1.0,-0.329,-0.878,nan,nan
3,0,2,Steven Peterson,102,34,11,0,0,0,0:00,2,31,8,0,0,0,0:03,4,36,7,0,0,0,0:28,2,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Lucas Alexander,159,41,24,0,0,0,0:05,12,54,27,0,0,0,0:08,10,63,34,1,0,0,0:42,21,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27 30,27 30,27 30,Alexander,Lucas Alexander,1,1,1,--,--,1,1,1,--,--,1,1,1,--,--,1.0,nan,nan,nan,nan,nan
3,1,2,Victor Altamirano,171,29,16,0,1,0,2:28,2,42,24,0,0,0,0:33,10,47,22,0,2,0,2:03,16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Vinicius Salvador,168,33,11,0,0,0,0:00,4,56,24,0,1,0,0:14,15,41,12,0,0,0,0:07,7,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28 29,28 29,28 29,Altamirano,Victor Altamirano,1,-1,1,--,--,1,-1,1,--,--,1,-1,1,--,--,1.0,0.842,-0.316,0.578,nan,nan
5,1,3,Leon Edwards,164,26,20,0,0,0,0:00,5,26,23,0,0,0,0:00,9,32,24,0,0,0,0:00,2,41,25,0,0,0,0:00,9,36,28,0,0,0,0:00,9,Kamaru Usman,232,42,12,0,0,0,0:19,5,50,24,0,1,0,0:45,19,32,17,0,1,0,1:06,9,37,14,0,1,0,0:51,7,44,20,0,1,0,2:02,17,46 48,46 48,47 47,Edwards,Leon Edwards,1,1,-1,-1,1,1,1,-2,1,1,1,-1,-2,1,1,0.594,0.982,-0.039,-1.229,0.537,0.835
3,1,3,Justin Gaethje,174,36,23,0,0,0,0:00,11,48,27,0,0,0,0:00,22,87,53,0,1,0,0:05,48,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Rafael Fiziev,169,50,27,0,0,0,0:00,11,49,32,0,0,0,0:00,12,70,38,0,0,0,0:00,15,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28 29,28 29,28 28,Gaethje,Justin Gaethje,-1,1,1,--,--,-1,-1,2,--,--,1,-1,1,--,--,0.63,-0.855,0.185,1.023,nan,nan
3,1,2,Jennifer Maia,355,113,47,0,0,0,0:04,37,119,51,0,0,0,0:23,44,117,47,0,0,0,0:56,42,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Casey O'Neill,264,96,43,0,0,0,0:00,35,84,47,0,0,0,0:00,36,84,47,0,0,0,0:00,37,--,--,--,--,--,--,--,--,--,--,--,--,--,--,27 30,28 29,28 29,Maia,Jennifer Maia,1,1,-1,--,--,1,1,-1,--,--,1,1,1,--,--,1.0,0.902,0.819,-0.131,nan,nan
3,1,2,Marvin Vettori,218,75,38,0,0,0,0:00,24,69,28,0,0,0,0:00,11,74,40,0,0,0,0:00,25,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Roman Dolidze,192,71,29,0,0,0,0:00,20,50,16,0,0,0,0:05,12,71,26,0,0,0,0:09,20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,28 29,28 29,27 30,Vettori,Marvin Vettori,-1,1,1,--,--,-1,1,1,--,--,1,1,1,--,--,0.5,-0.852,0.698,-0.087,nan,nan
3,1,3,Chris Duncan,92,40,24,0,0,0,0:12,6,24,14,0,1,0,2:42,1,19,15,0,4,0,3:37,5,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Omar Morales,86,42,26,0,0,0,0:00,18,17,7,0,0,0,0:02,4,21,14,0,0,0,0:00,10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,30 27,28 29,28 29,Duncan,Chris Duncan,-1,1,1,--,--,-1,1,1,--,--,-1,-1,-1,--,--,0.789,-0.75,0.25,0.598,nan,nan
